car,move
J,-1
I,4
H,3
E,3
D,-1
C,-1
D,-1
A,-1
D,4
C,4
B,-1
C,-1
D,-1
C,-1
G,-1
D,3
E,-1
B,5
H,-1
I,-1
H,-1
I,-1
J,3
H,3
F,3
J,-1
B,-1
I,4
K,-1
H,3
B,5
F,3
A,3
K,3
F,-1
H,-1
I,-1
K,-1
A,-1
G,-1
I,3
X,3
H,3
F,3
K,3
F,-2
H,-1
I,-1
H,-1
I,-1
J,3
H,3
L,-1
J,-1
X,-1
I,4
H,3
E,3
D,-1
L,-1
J,-1
D,3
E,-1
J,-1
E,5
H,-1
I,-1
D,-1
I,-2
H,3
E,-2
J,5
E,4
H,-1
I,3
D,3
L,4
X,5
D,-1
I,-1
H,3
F,4
X,-1
F,-1
H,-1
I,3
D,3
X,-1
K,-1
X,4
D,-1
I,-1
H,3
E,-1
X,-1
K,-1
X,-1
E,3
F,3
K,3
X,-1
G,3
B,-1
I,-1
F,-1
H,-1
I,4
D,3
B,5
A,3
D,-1
I,-1
H,3
E,-1
K,3
E,-1
J,-1
F,-1
L,-1
J,3
E,4
H,-1
I,3
D,3
L,3
H,-1
D,-1
I,-1
A,-1
H,4
E,-1
L,-1
B,-1
I,-1
E,3
H,-1
I,4
D,3
L,3
G,3
D,-1
I,-1
H,3
I,-1
E,-1
D,-1
I,3
B,5
E,3
H,-1
I,3
A,3
D,3
I,-1
H,3
E,-1
C,3
E,-1
J,-1
A,-1
B,-1
I,-1
C,-1
G,-1
J,3
I,3
F,3
J,-1
K,-1
B,5
J,3
G,-1
X,3
J,-1
K,3
F,-1
J,3
E,3
X,3
L,-1
X,3
G,3
E,3
H,-1
I,3
D,3
B,-1
L,3
D,-1
I,-1
H,3
I,-1
X,3
